id;the_geom;id;sub_area;type;types;flats;height;levels
buildings_lambert93.1;MULTIPOLYGON (((911947.4086695365 6234223.560111891, 911950.1015382987 6234230.76811028, 911965.207190766 6234224.481311642, 911961.6791079129 6234217.913153932, 911947.4086695365 6234223.560111891)));605;Boundary7;yes;yes;1;0.0;0
buildings_lambert93.2;MULTIPOLYGON (((911725.4069080901 6233571.510787237, 911720.6809467094 6233566.683045, 911716.4048876585 6233570.435353984, 911714.4969179607 6233569.037615183, 911707.4717744625 6233577.14876398, 911716.098662024 6233584.66353809, 911723.3751263869 6233576.338211539, 911722.3544661476 6233575.192196587, 911725.4069080901 6233571.510787237)));606;Boundary4;yes;yes;1;0.0;0
buildings_lambert93.3;MULTIPOLYGON (((911817.518958616 6234061.875041285, 911816.6704465338 6234067.853809339, 911820.7183205807 6234068.543512183, 911821.508880677 6234066.789809888, 911824.4665550503 6234068.444679892, 911825.8857163598 6234067.3791309055, 911826.5056127445 6234063.39507476, 911817.518958616 6234061.875041285)));607;Boundary5;yes;yes;1;0.0;0
buildings_lambert93.4;MULTIPOLYGON (((910775.1236705787 6234431.249452592, 910773.1198641199 6234430.293795442, 910774.1905281827 6234427.4368213415, 910776.3715638383 6234427.953355101, 910778.5978633477 6234422.130961742, 910768.7826519699 6234418.582955844, 910765.4638161918 6234427.929021806, 910767.3086328306 6234428.768222563, 910764.7946211969 6234435.9159991685, 910772.4433650043 6234438.503003064, 910775.1236705787 6234431.249452592)));608;Boundary6;yes;yes;1;0.0;0
buildings_lambert93.5;MULTIPOLYGON (((912246.1026903088 6234243.325938882, 912234.0791374889 6234247.489224417, 912235.233384791 6234251.976827262, 912247.5858898612 6234247.7131809015, 912246.1026903088 6234243.325938882)));610;Boundary5;yes;yes;1;0.0;0
buildings_lambert93.6;MULTIPOLYGON (((911543.9273939254 6233638.167629556, 911546.1188250908 6233635.903852468, 911538.2347656118 6233628.080072931, 911530.6698839227 6233635.2837315705, 911538.3062946158 6233643.210580314, 911543.9273939254 6233638.167629556)));611;Boundary4;yes;yes;1;0.0;0
buildings_lambert93.7;MULTIPOLYGON (((911968.0086781932 6233922.567190624, 911967.9928839045 6233932.911657376, 911986.4721605622 6233932.965469246, 911986.6335541591 6233928.076393661, 911975.1556158286 6233928.031214256, 911975.1800238697 6233922.358961638, 911968.0086781932 6233922.567190624)));612;Boundary7;yes;yes;1;0.0;0
buildings_lambert93.8;MULTIPOLYGON (((911817.4412892172 6234792.247697728, 911822.5394487681 6234783.294559376, 911817.9924708351 6234780.474900652, 911820.146310816 6234776.875177364, 911812.4053723711 6234772.170385635, 911808.0053895046 6234779.700500121, 911810.9590622042 6234781.466470376, 911803.9620304763 6234793.694048508, 911808.5976501555 6234796.294149956, 911812.8056698807 6234789.647589816, 911817.4412892172 6234792.247697728)));613;Boundary2;yes;yes;1;0.0;0
buildings_lambert93.9;MULTIPOLYGON (((911782.2706954302 6234417.224074804, 911770.3723841821 6234417.610310137, 911769.155388558 6234427.358934839, 911771.8719118562 6234426.447402445, 911772.6683536122 6234419.577042129, 911781.8318094189 6234420.657913442, 911782.2706954302 6234417.224074804)));615;Boundary7;yes;yes;1;0.0;0
buildings_lambert93.10;MULTIPOLYGON (((912374.8074385299 6235058.158783483, 912382.5264782885 6235068.425333618, 912386.6173251781 6235065.334816748, 912386.2548750627 6235063.987997816, 912396.4404079309 6235061.210332546, 912393.7663725248 6235050.999416935, 912383.495838042 6235053.885511212, 912383.9285743831 6235055.568362387, 912374.8074385299 6235058.158783483)));616;Boundary0;yes;yes;1;0.0;0
